@relation train02-15_17-16-32

@attribute PassengerId numeric
@attribute Survived {0,1}
@attribute Pclass numeric
@attribute Name {Mr,Mrs,Miss,Master,Don,Rev,Dr,Mme,Ms,Major,Lady,Sir,Mlle,Col,Capt,'the Countess',Jonkheer}
@attribute Sex {male,female}
@attribute Age {-1,0,1}
@attribute SibSp numeric
@attribute Parch numeric
@attribute Ticket {A/5,PC,STON/O2.,PP,A/5.,C.A.,A./5.,SC/Paris,S.C./A.4.,A/4.,CA,S.P.,S.O.C.,SO/C,W./C.,SOTON/OQ,W.E.P.,STON/O,A4.,C,SOTON/O.Q.,SC/PARIS,S.O.P.,A.5.,Fa,CA.,LINE,F.C.C.,W/C,SW/PP,SCO/W,P/PP,SC,SC/AH,A/S,A/4,WE/P,S.W./PP,S.O./P.P.,F.C.,SOTON/O2,S.C./PARIS,C.A./SOTON}
@attribute Fare numeric
@attribute Cabin numeric
@attribute Embarked {S,C,Q}

@data
127,0,3,Mr,male,-1,0,0,?,7.75,0,Q
128,1,3,Mr,male,1,0,0,C,7.1417,0,S
129,1,3,Miss,female,-1,1,1,?,22.3583,2,C
130,0,3,Mr,male,1,0,0,?,6.975,0,S
131,0,3,Mr,male,1,0,0,?,7.8958,0,C
132,0,3,Mr,male,1,0,0,SOTON/O.Q.,7.05,0,S
133,0,3,Mrs,female,1,1,0,A/5.,14.5,0,S
134,1,2,Mrs,female,1,1,0,?,26,0,S
135,0,2,Mr,male,1,0,0,C.A.,13,0,S
136,0,2,Mr,male,1,0,0,SC/PARIS,15.0458,0,C
137,1,1,Miss,female,1,0,2,?,26.2833,1,S
138,0,1,Mr,male,1,1,0,?,53.1,1,S
139,0,3,Mr,male,0,0,0,?,9.2167,0,S
140,0,1,Mr,male,1,0,0,PC,79.2,1,C
141,0,3,Mrs,female,-1,0,2,?,15.2458,0,C
142,1,3,Miss,female,1,0,0,?,7.75,0,S
143,1,3,Mrs,female,1,1,0,STON/O2.,15.85,0,S
144,0,3,Mr,male,1,0,0,?,6.75,0,Q
145,0,2,Mr,male,1,0,0,?,11.5,0,S
146,0,2,Mr,male,1,1,1,C.A.,36.75,0,S
147,1,3,Mr,male,1,0,0,?,7.7958,0,S
148,0,3,Miss,female,0,2,2,W./C.,34.375,0,S
149,0,2,Mr,male,1,0,2,?,26,1,S
150,0,2,Rev,male,1,0,0,?,13,0,S
151,0,2,Rev,male,1,0,0,S.O.P.,12.525,0,S
152,1,1,Mrs,female,1,1,0,?,66.6,1,S
153,0,3,Mr,male,1,0,0,A.5.,8.05,0,S
154,0,3,Mr,male,1,0,2,A/5.,14.5,0,S
155,0,3,Mr,male,-1,0,0,Fa,7.3125,0,S
156,0,1,Mr,male,1,0,1,PC,61.3792,0,C
157,1,3,Miss,female,0,0,0,?,7.7333,0,Q
158,0,3,Mr,male,1,0,0,SOTON/OQ,8.05,0,S
159,0,3,Mr,male,-1,0,0,?,8.6625,0,S
160,0,3,Master,male,-1,8,2,CA.,69.55,0,S
161,0,3,Mr,male,1,0,1,?,16.1,0,S
162,1,2,Mrs,female,1,0,0,C.A.,15.75,0,S
163,0,3,Mr,male,1,0,0,?,7.775,0,S
164,0,3,Mr,male,0,0,0,?,8.6625,0,S
165,0,3,Master,male,0,4,1,?,39.6875,0,S
166,1,3,Master,male,0,0,2,?,20.525,0,S
167,1,1,Mrs,female,-1,0,1,?,55,1,S
168,0,3,Mrs,female,1,1,4,?,27.9,0,S
169,0,1,Mr,male,-1,0,0,PC,25.925,0,S
170,0,3,Mr,male,1,0,0,?,56.4958,0,S
171,0,1,Mr,male,0,0,0,?,33.5,1,S
172,0,3,Master,male,0,4,1,?,29.125,0,Q
173,1,3,Miss,female,0,1,1,?,11.1333,0,S
174,0,3,Mr,male,1,0,0,STON/O,7.925,0,S
175,0,1,Mr,male,1,0,0,?,30.6958,1,C
176,0,3,Mr,male,1,1,1,?,7.8542,0,S
177,0,3,Master,male,-1,3,1,?,25.4667,0,S
178,0,1,Miss,female,1,0,0,PC,28.7125,1,C
179,0,2,Mr,male,1,0,0,?,13,0,S
180,0,3,Mr,male,1,0,0,LINE,0,0,S
181,0,3,Miss,female,-1,8,2,CA.,69.55,0,S
182,0,2,Mr,male,-1,0,0,SC/PARIS,15.05,0,C
183,0,3,Master,male,0,4,2,?,31.3875,0,S
184,1,2,Master,male,0,2,1,?,39,1,S
185,1,3,Miss,female,0,0,2,?,22.025,0,S
186,0,1,Mr,male,-1,0,0,?,50,1,S
187,1,3,Mrs,female,-1,1,0,?,15.5,0,Q
188,1,1,Mr,male,1,0,0,?,26.55,0,S
189,0,3,Mr,male,1,1,1,?,15.5,0,Q
190,0,3,Mr,male,1,0,0,?,7.8958,0,S
191,1,2,Mrs,female,1,0,0,?,13,0,S
192,0,2,Mr,male,1,0,0,?,13,0,S
193,1,3,Miss,female,1,1,0,?,7.8542,0,S
194,1,2,Master,male,0,1,1,?,26,1,S
195,1,1,Mrs,female,1,0,0,PC,27.7208,1,C
196,1,1,Miss,female,1,0,0,PC,146.5208,1,C
197,0,3,Mr,male,-1,0,0,?,7.75,0,Q
198,0,3,Mr,male,1,0,1,?,8.4042,0,S
199,1,3,Miss,female,-1,0,0,?,7.75,0,Q
200,0,2,Miss,female,1,0,0,?,13,0,S
201,0,3,Mr,male,1,0,0,?,9.5,0,S
202,0,3,Mr,male,-1,8,2,CA.,69.55,0,S
203,0,3,Mr,male,1,0,0,?,6.4958,0,S
204,0,3,Mr,male,1,0,0,?,7.225,0,C
205,1,3,Mr,male,1,0,0,A/5,8.05,0,S
206,0,3,Miss,female,0,0,1,?,10.4625,1,S
207,0,3,Mr,male,1,1,0,?,15.85,0,S
208,1,3,Mr,male,1,0,0,?,18.7875,0,C
209,1,3,Miss,female,0,0,0,?,7.75,0,Q
210,1,1,Mr,male,1,0,0,?,31,1,C
211,0,3,Mr,male,1,0,0,SOTON/O.Q.,7.05,0,S
212,1,2,Miss,female,1,0,0,F.C.C.,21,0,S
213,0,3,Mr,male,1,0,0,A/5,7.25,0,S
214,0,2,Mr,male,1,0,0,?,13,0,S
215,0,3,Mr,male,-1,1,0,?,7.75,0,Q
216,1,1,Miss,female,1,1,0,?,113.275,1,C
217,1,3,Miss,female,1,0,0,STON/O2.,7.925,0,S
218,0,2,Mr,male,1,1,0,?,27,0,S
219,1,1,Miss,female,1,0,0,?,76.2917,1,C
220,0,2,Mr,male,1,0,0,W/C,10.5,0,S
221,1,3,Mr,male,0,0,0,SOTON/OQ,8.05,0,S
222,0,2,Mr,male,1,0,0,?,13,0,S
223,0,3,Mr,male,1,0,0,?,8.05,0,S
224,0,3,Mr,male,-1,0,0,?,7.8958,0,S
225,1,1,Mr,male,1,1,0,?,90,1,S
226,0,3,Mr,male,1,0,0,PP,9.35,0,S
227,1,2,Mr,male,1,0,0,SW/PP,10.5,0,S
228,0,3,Mr,male,1,0,0,A/5,7.25,0,S
229,0,2,Mr,male,1,0,0,?,13,0,S
230,0,3,Miss,female,-1,3,1,?,25.4667,0,S
231,1,1,Mrs,female,1,1,0,?,83.475,1,S
232,0,3,Mr,male,1,0,0,?,7.775,0,S
233,0,2,Mr,male,1,0,0,?,13.5,0,S
234,1,3,Miss,female,0,4,2,?,31.3875,0,S
235,0,2,Mr,male,1,0,0,C.A.,10.5,0,S
236,0,3,Miss,female,-1,0,0,W./C.,7.55,0,S
237,0,2,Mr,male,1,1,0,?,26,0,S
238,1,2,Miss,female,0,0,2,C.A.,26.25,0,S
239,0,2,Mr,male,1,0,0,?,10.5,0,S
240,0,2,Mr,male,1,0,0,SCO/W,12.275,0,S
241,0,3,Miss,female,-1,1,0,?,14.4542,0,C
242,1,3,Miss,female,-1,1,0,?,15.5,0,Q
243,0,2,Mr,male,1,0,0,W./C.,10.5,0,S
244,0,3,Mr,male,1,0,0,STON/O,7.125,0,S
245,0,3,Mr,male,1,0,0,?,7.225,0,C
246,0,1,Dr,male,1,2,0,?,90,1,Q
247,0,3,Miss,female,1,0,0,?,7.775,0,S
248,1,2,Mrs,female,1,0,2,?,14.5,0,S
249,1,1,Mr,male,1,1,1,?,52.5542,1,S
250,0,2,Rev,male,1,1,0,?,26,0,S
251,0,3,Mr,male,-1,0,0,?,7.25,0,S
252,0,3,Mrs,female,1,1,1,?,10.4625,1,S
253,0,1,Mr,male,0,0,0,?,26.55,1,S
254,0,3,Mr,male,1,1,0,A/5.,16.1,0,S
255,0,3,Mrs,female,1,0,2,?,20.2125,0,S
256,1,3,Mrs,female,1,0,2,?,15.2458,0,C
257,1,1,Mrs,female,-1,0,0,PC,79.2,0,C
258,1,1,Miss,female,1,0,0,?,86.5,1,S
259,1,1,Miss,female,1,0,0,PC,512.3292,0,C
260,1,2,Mrs,female,1,0,1,?,26,0,S
261,0,3,Mr,male,-1,0,0,?,7.75,0,Q
262,1,3,Master,male,0,4,2,?,31.3875,0,S
263,0,1,Mr,male,1,1,1,?,79.65,1,S
264,0,1,Mr,male,1,0,0,?,0,1,S
265,0,3,Miss,female,-1,0,0,?,7.75,0,Q
266,0,2,Mr,male,1,0,0,C.A.,10.5,0,S
267,0,3,Mr,male,0,4,1,?,39.6875,0,S
268,1,3,Mr,male,1,1,0,?,7.775,0,S
269,1,1,Mrs,female,1,0,1,PC,153.4625,1,S
270,1,1,Miss,female,1,0,0,PC,135.6333,1,S
271,0,1,Mr,male,-1,0,0,?,31,0,S
272,1,3,Mr,male,1,0,0,LINE,0,0,S
273,1,2,Mrs,female,1,0,1,?,19.5,0,S
274,0,1,Mr,male,1,0,1,PC,29.7,1,C
275,1,3,Miss,female,-1,0,0,?,7.75,0,Q
276,1,1,Miss,female,0,1,0,?,77.9583,1,S
277,0,3,Miss,female,1,0,0,?,7.75,0,S
278,0,2,Mr,male,-1,0,0,?,0,0,S
279,0,3,Master,male,0,4,1,?,29.125,0,Q
280,1,3,Mrs,female,1,1,1,C.A.,20.25,0,S
281,0,3,Mr,male,0,0,0,?,7.75,0,Q
282,0,3,Mr,male,1,0,0,?,7.8542,0,S
283,0,3,Mr,male,0,0,0,?,9.5,0,S
284,1,3,Mr,male,1,0,0,A/5.,8.05,0,S
285,0,1,Mr,male,-1,0,0,?,26,1,S
286,0,3,Mr,male,1,0,0,?,8.6625,0,C
287,1,3,Mr,male,1,0,0,?,9.5,0,S
288,0,3,Mr,male,1,0,0,?,7.8958,0,S
289,1,2,Mr,male,1,0,0,?,13,0,S
290,1,3,Miss,female,1,0,0,?,7.75,0,Q
291,1,1,Miss,female,1,0,0,?,78.85,0,S
292,1,1,Mrs,female,1,1,0,?,91.0792,1,C
293,0,2,Mr,male,1,0,0,SC/Paris,12.875,1,C
294,0,3,Miss,female,1,0,0,?,8.85,0,S
295,0,3,Mr,male,1,0,0,?,7.8958,0,S
296,0,1,Mr,male,-1,0,0,PC,27.7208,0,C
297,0,3,Mr,male,1,0,0,?,7.2292,0,C
298,0,1,Miss,female,0,1,2,?,151.55,2,S
299,1,1,Mr,male,-1,0,0,?,30.5,1,S
300,1,1,Mrs,female,1,0,1,PC,247.5208,2,C
301,1,3,Miss,female,-1,0,0,?,7.75,0,Q
302,1,3,Mr,male,-1,2,0,?,23.25,0,Q
303,0,3,Mr,male,1,0,0,LINE,0,0,S
304,1,2,Miss,female,-1,0,0,?,12.35,1,Q
305,0,3,Mr,male,-1,0,0,A/5,8.05,0,S
306,1,1,Master,male,0,1,2,?,151.55,2,S
307,1,1,Miss,female,-1,0,0,?,110.8833,0,C
308,1,1,Mrs,female,0,1,0,PC,108.9,1,C
309,0,2,Mr,male,1,1,0,P/PP,24,0,C
310,1,1,Miss,female,1,0,0,PC,56.9292,1,C
311,1,1,Miss,female,1,0,0,?,83.1583,1,C
312,1,1,Miss,female,1,2,2,PC,262.375,4,C
313,0,2,Mrs,female,1,1,1,?,26,0,S
314,0,3,Mr,male,1,0,0,?,7.8958,0,S
315,0,2,Mr,male,1,1,1,F.C.C.,26.25,0,S
316,1,3,Miss,female,1,0,0,?,7.8542,0,S
317,1,2,Mrs,female,1,1,0,?,26,0,S
318,0,2,Dr,male,1,0,0,?,14,0,S
319,1,1,Miss,female,1,0,2,?,164.8667,1,S
320,1,1,Mrs,female,1,1,1,?,134.5,1,C
321,0,3,Mr,male,1,0,0,A/5,7.25,0,S
322,0,3,Mr,male,1,0,0,?,7.8958,0,S
323,1,2,Miss,female,1,0,0,?,12.35,0,Q
324,1,2,Mrs,female,1,1,1,?,29,0,S
325,0,3,Mr,male,-1,8,2,CA.,69.55,0,S
326,1,1,Miss,female,1,0,0,PC,135.6333,1,C
327,0,3,Mr,male,0,0,0,?,6.2375,0,S
328,1,2,Mrs,female,1,0,0,?,13,1,S
329,1,3,Mrs,female,1,1,1,?,20.525,0,S
330,1,1,Miss,female,0,0,1,?,57.9792,1,C
331,1,3,Miss,female,-1,2,0,?,23.25,0,Q
332,0,1,Mr,male,1,0,0,?,28.5,1,S
333,0,1,Mr,male,1,0,1,PC,153.4625,1,S
334,0,3,Mr,male,0,2,0,?,18,0,S
335,1,1,Mrs,female,-1,1,0,PC,133.65,0,S
336,0,3,Mr,male,-1,0,0,?,7.8958,0,S
337,0,1,Mr,male,1,1,0,?,66.6,1,S
338,1,1,Miss,female,1,0,0,?,134.5,1,C
339,1,3,Mr,male,1,0,0,?,8.05,0,S
340,0,1,Mr,male,1,0,0,?,35.5,1,S
341,1,2,Master,male,0,1,1,?,26,1,S
342,1,1,Miss,female,1,3,2,?,263,3,S
343,0,2,Mr,male,1,0,0,?,13,0,S
344,0,2,Mr,male,1,0,0,?,13,0,S
345,0,2,Mr,male,1,0,0,?,13,0,S
346,1,2,Miss,female,1,0,0,?,13,1,S
347,1,2,Miss,female,1,0,0,?,13,0,S
348,1,3,Mrs,female,-1,1,0,?,16.1,0,S
349,1,3,Master,male,0,1,1,C.A.,15.9,0,S
350,0,3,Mr,male,1,0,0,?,8.6625,0,S
351,0,3,Mr,male,1,0,0,?,9.225,0,S
352,0,1,Mr,male,-1,0,0,?,35,1,S
353,0,3,Mr,male,0,1,1,?,7.2292,0,C
354,0,3,Mr,male,1,1,0,?,17.8,0,S
355,0,3,Mr,male,-1,0,0,?,7.225,0,C
356,0,3,Mr,male,1,0,0,?,9.5,0,S
357,1,1,Miss,female,1,0,1,?,55,1,S
358,0,2,Miss,female,1,0,0,?,13,0,S
359,1,3,Miss,female,-1,0,0,?,7.8792,0,Q
360,1,3,Miss,female,-1,0,0,?,7.8792,0,Q
361,0,3,Mr,male,1,1,4,?,27.9,0,S
362,0,2,Mr,male,1,1,0,SC/PARIS,27.7208,0,C
363,0,3,Mrs,female,1,0,1,?,14.4542,0,C
364,0,3,Mr,male,1,0,0,SOTON/O.Q.,7.05,0,S
365,0,3,Mr,male,-1,1,0,?,15.5,0,Q
366,0,3,Mr,male,1,0,0,C,7.25,0,S
367,1,1,Mrs,female,1,1,0,?,75.25,1,C
368,1,3,Mrs,female,-1,0,0,?,7.2292,0,C
369,1,3,Miss,female,-1,0,0,?,7.75,0,Q
370,1,1,Mme,female,1,0,0,PC,69.3,1,C
371,1,1,Mr,male,1,1,0,?,55.4417,1,C
372,0,3,Mr,male,1,1,0,?,6.4958,0,S
373,0,3,Mr,male,1,0,0,?,8.05,0,S
374,0,1,Mr,male,1,0,0,PC,135.6333,0,C
375,0,3,Miss,female,0,3,1,?,21.075,0,S
376,1,1,Mrs,female,-1,1,0,PC,82.1708,0,C
377,1,3,Miss,female,1,0,0,C,7.25,0,S
378,0,1,Mr,male,1,0,2,?,211.5,1,C
379,0,3,Mr,male,1,0,0,?,4.0125,0,C
380,0,3,Mr,male,1,0,0,?,7.775,0,S
381,1,1,Miss,female,1,0,0,PC,227.525,0,C
382,1,3,Miss,female,0,0,2,?,15.7417,0,C
383,0,3,Mr,male,1,0,0,STON/O,7.925,0,S
384,1,1,Mrs,female,1,1,0,?,52,0,S
385,0,3,Mr,male,-1,0,0,?,7.8958,0,S
386,0,2,Mr,male,1,0,0,S.O.C.,73.5,0,S
387,0,3,Master,male,0,5,2,CA,46.9,0,S
388,1,2,Miss,female,1,0,0,?,13,0,S
389,0,3,Mr,male,-1,0,0,?,7.7292,0,Q
390,1,2,Miss,female,0,0,0,SC,12,0,C
391,1,1,Mr,male,1,1,2,?,120,2,S
392,1,3,Mr,male,1,0,0,?,7.7958,0,S
393,0,3,Mr,male,1,2,0,?,7.925,0,S
394,1,1,Miss,female,1,1,0,?,113.275,1,C
395,1,3,Mrs,female,1,0,2,PP,16.7,1,S
396,0,3,Mr,male,1,0,0,?,7.7958,0,S
397,0,3,Miss,female,1,0,0,?,7.8542,0,S
398,0,2,Mr,male,1,0,0,?,26,0,S
399,0,2,Dr,male,1,0,0,?,10.5,0,S
400,1,2,Mrs,female,1,0,0,?,12.65,0,S
401,1,3,Mr,male,1,0,0,STON/O,7.925,0,S
402,0,3,Mr,male,1,0,0,?,8.05,0,S
403,0,3,Miss,female,1,1,0,?,9.825,0,S
404,0,3,Mr,male,1,1,0,STON/O2.,15.85,0,S
405,0,3,Miss,female,1,0,0,?,8.6625,0,S
406,0,2,Mr,male,1,1,0,?,21,0,S
407,0,3,Mr,male,1,0,0,?,7.75,0,S
408,1,2,Master,male,0,1,1,?,18.75,0,S
409,0,3,Mr,male,1,0,0,?,7.775,0,S
410,0,3,Miss,female,-1,3,1,?,25.4667,0,S
411,0,3,Mr,male,-1,0,0,?,7.8958,0,S
412,0,3,Mr,male,-1,0,0,?,6.8583,0,Q
413,1,1,Miss,female,1,1,0,?,90,1,Q
414,0,2,Mr,male,-1,0,0,?,0,0,S
415,1,3,Mr,male,1,0,0,STON/O,7.925,0,S
416,0,3,Mrs,female,-1,0,0,?,8.05,0,S
417,1,2,Mrs,female,1,1,1,?,32.5,0,S
418,1,2,Miss,female,1,0,2,?,13,0,S
419,0,2,Mr,male,1,0,0,?,13,0,S
420,0,3,Miss,female,0,0,2,?,24.15,0,S
421,0,3,Mr,male,-1,0,0,?,7.8958,0,C
422,0,3,Mr,male,1,0,0,A/5.,7.7333,0,Q
423,0,3,Mr,male,1,0,0,?,7.875,0,S
424,0,3,Mrs,female,1,1,1,?,14.4,0,S
425,0,3,Mr,male,1,1,1,?,20.2125,0,S
426,0,3,Mr,male,-1,0,0,A/4.,7.25,0,S
427,1,2,Mrs,female,1,1,0,?,26,0,S
428,1,2,Miss,female,1,0,0,?,26,0,S
429,0,3,Mr,male,-1,0,0,?,7.75,0,Q
430,1,3,Mr,male,1,0,0,SOTON/O.Q.,8.05,1,S
431,1,1,Mr,male,1,0,0,?,26.55,1,S
432,1,3,Mrs,female,-1,1,0,?,16.1,0,S
433,1,2,Mrs,female,1,1,0,SC/AH,26,0,S
434,0,3,Mr,male,0,0,0,STON/O,7.125,0,S
435,0,1,Mr,male,1,1,0,?,55.9,1,S
436,1,1,Miss,female,0,1,2,?,120,2,S
437,0,3,Miss,female,1,2,2,W./C.,34.375,0,S
438,1,2,Mrs,female,1,2,3,?,18.75,0,S
439,0,1,Mr,male,0,1,4,?,263,3,S
440,0,2,Mr,male,1,0,0,C.A.,10.5,0,S
441,1,2,Mrs,female,1,1,1,F.C.C.,26.25,0,S
442,0,3,Mr,male,1,0,0,?,9.5,0,S
443,0,3,Mr,male,1,1,0,?,7.775,0,S
444,1,2,Ms,female,1,0,0,?,13,0,S
445,1,3,Mr,male,-1,0,0,?,8.1125,0,S
446,1,1,Master,male,0,0,2,?,81.8583,1,S
447,1,2,Miss,female,0,0,1,?,19.5,0,S
