PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
976,2,Mr,male,-1,0,0,UNKNOWN,10.7083,0,Q
977,3,Mr,male,-1,1,0,UNKNOWN,14.4542,0,C
978,3,Miss,female,1,0,0,UNKNOWN,7.8792,0,Q
979,3,Miss,female,1,0,0,A/4,8.05,0,S
980,3,Ms,female,-1,0,0,UNKNOWN,7.75,0,Q
981,2,Master,male,0,1,1,UNKNOWN,23,0,S
982,3,Mrs,female,1,1,0,UNKNOWN,13.9,0,S
983,3,Mr,male,-1,0,0,UNKNOWN,7.775,0,S
984,1,Mrs,female,1,1,2,F.C.,52,1,S
985,3,Mr,male,-1,0,0,UNKNOWN,8.05,0,S
986,1,Mr,male,1,0,0,UNKNOWN,26,0,C
987,3,Mr,male,1,0,0,UNKNOWN,7.7958,0,S
988,1,Mrs,female,0,1,0,UNKNOWN,78.85,1,S
989,3,Mr,male,1,0,0,STON/O,7.925,0,S
990,3,Miss,female,1,0,0,UNKNOWN,7.8542,0,S
991,3,Mr,male,1,0,0,A./5.,8.05,0,S
992,1,Mrs,female,1,1,0,UNKNOWN,55.4417,1,C
993,2,Mr,male,1,1,0,UNKNOWN,26,0,S
994,3,Mr,male,-1,0,0,UNKNOWN,7.75,0,Q
995,3,Mr,male,1,0,0,UNKNOWN,7.775,0,S
996,3,Mrs,female,0,1,1,UNKNOWN,8.5167,0,C
997,3,Mr,male,1,0,0,C,22.525,0,S
998,3,Mr,male,1,0,0,UNKNOWN,7.8208,0,Q
999,3,Mr,male,-1,0,0,UNKNOWN,7.75,0,Q
1000,3,Mr,male,-1,0,0,UNKNOWN,8.7125,0,S
1001,2,Mr,male,1,0,0,UNKNOWN,13,1,S
1002,2,Mr,male,1,0,0,UNKNOWN,15.0458,0,C
1003,3,Miss,female,-1,0,0,UNKNOWN,7.7792,0,Q
1004,1,Miss,female,1,0,0,PC,31.6792,1,C
1005,3,Miss,female,1,0,0,UNKNOWN,7.2833,0,Q
1006,1,Mrs,female,0,1,0,PC,221.7792,2,S
1007,3,Mr,male,1,1,0,UNKNOWN,14.4542,0,C
1008,3,Mr,male,-1,0,0,UNKNOWN,6.4375,0,C
1009,3,Miss,female,0,1,1,PP,16.7,1,S
1010,1,Mr,male,1,0,0,UNKNOWN,75.2417,1,C
1011,2,Mrs,female,1,1,0,SC/AH,26,0,S
1012,2,Miss,female,0,0,0,C.A.,15.75,0,S
1013,3,Mr,male,-1,1,0,UNKNOWN,7.75,0,Q
1014,1,Mrs,female,1,1,0,UNKNOWN,57.75,1,C
1015,3,Mr,male,1,0,0,UNKNOWN,7.25,0,S
1016,3,Mr,male,-1,0,0,UNKNOWN,7.75,0,Q
1017,3,Miss,female,0,0,1,UNKNOWN,16.1,0,S
1018,3,Mr,male,1,0,0,UNKNOWN,7.7958,0,S
1019,3,Miss,female,-1,2,0,UNKNOWN,23.25,0,Q
1020,2,Mr,male,1,0,0,UNKNOWN,13,0,S
1021,3,Mr,male,1,0,0,UNKNOWN,8.05,0,S
1022,3,Mr,male,1,0,0,STON/OQ.,8.05,0,S
1023,1,Col,male,1,0,0,UNKNOWN,28.5,1,C
1024,3,Mrs,female,-1,0,4,UNKNOWN,25.4667,0,S
1025,3,Mr,male,-1,1,0,UNKNOWN,6.4375,0,C
1026,3,Mr,male,1,0,0,UNKNOWN,7.8958,0,S
1027,3,Mr,male,1,0,0,UNKNOWN,7.8542,0,S
1028,3,Mr,male,1,0,0,UNKNOWN,7.225,0,C
1029,2,Mr,male,1,0,0,UNKNOWN,13,0,S
1030,3,Miss,female,1,0,0,SOTON/OQ,8.05,0,S
1031,3,Mr,male,1,1,6,CA,46.9,0,S
1032,3,Miss,female,0,5,2,CA,46.9,0,S
1033,1,Miss,female,1,0,0,UNKNOWN,151.55,0,S
1034,1,Mr,male,0,1,3,PC,262.375,4,C
1035,2,Mr,male,1,0,0,UNKNOWN,26,0,S
1036,1,Mr,male,1,0,0,UNKNOWN,26.55,0,S
1037,3,Mr,male,1,3,0,UNKNOWN,18,0,S
1038,1,Mr,male,-1,0,0,UNKNOWN,51.8625,1,S
1039,3,Mr,male,1,0,0,SC/A4,8.05,0,S
1040,1,Mr,male,-1,0,0,UNKNOWN,26.55,0,S
1041,2,Rev,male,1,1,1,UNKNOWN,26,0,S
1042,1,Mrs,female,1,0,1,UNKNOWN,83.1583,1,C
1043,3,Mr,male,-1,0,0,UNKNOWN,7.8958,0,C
1044,3,Mr,male,0,0,0,UNKNOWN,,0,S
1045,3,Mrs,female,1,0,2,UNKNOWN,12.1833,0,S
1046,3,Master,male,0,4,2,UNKNOWN,31.3875,0,S
1047,3,Mr,male,1,0,0,S.O./P.P.,7.55,0,S
1048,1,Miss,female,1,0,0,PC,221.7792,1,S
1049,3,Miss,female,1,0,0,UNKNOWN,7.8542,0,S
1050,1,Mr,male,1,0,0,UNKNOWN,26.55,1,S
1051,3,Mrs,female,1,0,2,SOTON/O.Q.,13.775,0,S
1052,3,Miss,female,-1,0,0,UNKNOWN,7.7333,0,Q
1053,3,Master,male,0,1,1,UNKNOWN,15.2458,0,C
1054,2,Miss,female,1,0,0,UNKNOWN,13.5,0,S
1055,3,Mr,male,-1,0,0,UNKNOWN,7,0,S
1056,2,Rev,male,1,0,0,UNKNOWN,13,0,S
1057,3,Mrs,female,1,1,1,UNKNOWN,22.025,0,S
1058,1,Mr,male,1,0,0,PC,50.4958,1,C
1059,3,Mr,male,1,2,2,W./C.,34.375,0,S
1060,1,Mrs,female,-1,0,0,UNKNOWN,27.7208,0,C
1061,3,Miss,female,1,0,0,UNKNOWN,8.9625,0,S
1062,3,Mr,male,-1,0,0,S.O./P.P.,7.55,0,S
1063,3,Mr,male,1,0,0,UNKNOWN,7.225,0,C
1064,3,Mr,male,1,1,0,UNKNOWN,13.9,0,S
1065,3,Mr,male,-1,0,0,UNKNOWN,7.2292,0,C
1066,3,Mr,male,1,1,5,UNKNOWN,31.3875,0,S
1067,2,Miss,female,0,0,2,UNKNOWN,39,0,S
1068,2,Miss,female,1,0,0,C.A.,36.75,0,S
1069,1,Mr,male,1,1,0,UNKNOWN,55.4417,1,C
1070,2,Mrs,female,1,0,3,UNKNOWN,39,1,S
1071,1,Mrs,female,0,0,2,PC,83.1583,1,C
1072,2,Mr,male,1,0,0,UNKNOWN,13,0,S
1073,1,Mr,male,1,1,1,PC,83.1583,1,C
1074,1,Mrs,female,1,1,0,UNKNOWN,53.1,1,S
1075,3,Mr,male,-1,0,0,UNKNOWN,7.75,0,Q
1076,1,Mrs,female,1,1,1,PC,247.5208,2,C
1077,2,Mr,male,1,0,0,UNKNOWN,16,0,S
1078,2,Miss,female,1,0,1,S.O./P.P.,21,0,S
1079,3,Mr,male,0,2,0,A/4,8.05,0,S
1080,3,Miss,female,-1,8,2,CA.,69.55,0,S
1081,2,Mr,male,1,0,0,UNKNOWN,13,0,S
1082,2,Mr,male,1,1,0,UNKNOWN,26,0,S
1083,1,Mr,male,-1,0,0,UNKNOWN,26,0,S
1084,3,Master,male,0,1,1,A/5.,14.5,0,S
1085,2,Mr,male,0,0,0,UNKNOWN,12.35,0,Q
1086,2,Master,male,0,0,2,UNKNOWN,32.5,0,S
1087,3,Mr,male,1,0,0,UNKNOWN,7.8542,0,S
1088,1,Master,male,0,0,2,UNKNOWN,134.5,1,C
1089,3,Miss,female,1,0,0,UNKNOWN,7.775,0,S
1090,2,Mr,male,1,0,0,C.A.,10.5,0,S
1091,3,Mrs,female,-1,0,0,UNKNOWN,8.1125,0,S
1092,3,Miss,female,-1,0,0,UNKNOWN,15.5,0,Q
1093,3,Master,male,0,0,2,UNKNOWN,14.4,0,S
1094,1,Col,male,1,1,0,PC,227.525,2,C
1095,2,Miss,female,0,1,1,UNKNOWN,26,0,S
1096,2,Mr,male,1,0,0,C.A.,10.5,0,S
1097,1,Mr,male,-1,0,0,F.C.,25.7417,0,C
1098,3,Miss,female,1,0,0,UNKNOWN,7.75,0,Q
1099,2,Mr,male,1,0,0,UNKNOWN,10.5,0,S
1100,1,Miss,female,1,0,0,PC,27.7208,1,C
1101,3,Mr,male,1,0,0,UNKNOWN,7.8958,0,S
1102,3,Mr,male,1,0,0,C,22.525,0,S
1103,3,Mr,male,-1,0,0,SOTON/O.Q.,7.05,0,S
1104,2,Mr,male,0,0,0,S.O.C.,73.5,0,S
1105,2,Mrs,female,1,1,0,UNKNOWN,26,0,S
1106,3,Miss,female,1,4,2,UNKNOWN,7.775,0,S
1107,1,Mr,male,1,0,0,UNKNOWN,42.5,1,S
1108,3,Miss,female,-1,0,0,UNKNOWN,7.8792,0,Q
1109,1,Mr,male,1,1,1,UNKNOWN,164.8667,0,S
1110,1,Mrs,female,1,1,1,UNKNOWN,211.5,1,C
1111,3,Mr,male,-1,0,0,UNKNOWN,8.05,0,S
1112,2,Miss,female,1,1,0,SC/PARIS,13.8583,0,C
1113,3,Mr,male,1,0,0,UNKNOWN,8.05,0,S
1114,2,Mrs,female,1,0,0,W./C.,10.5,1,S
1115,3,Mr,male,1,0,0,UNKNOWN,7.7958,0,S
1116,1,Mrs,female,1,0,0,PC,27.4458,0,C
1117,3,Mrs,female,-1,0,2,UNKNOWN,15.2458,0,C
1118,3,Mr,male,1,0,0,UNKNOWN,7.7958,0,S
1119,3,Miss,female,-1,0,0,UNKNOWN,7.75,0,Q
1120,3,Mr,male,1,0,0,C.A.,15.1,0,S
1121,2,Mr,male,1,0,0,UNKNOWN,13,0,S
1122,2,Mr,male,0,0,0,UNKNOWN,65,0,S
1123,1,Miss,female,1,0,0,UNKNOWN,26.55,0,S
1124,3,Mr,male,1,1,0,UNKNOWN,6.4958,0,S
1125,3,Mr,male,-1,0,0,UNKNOWN,7.8792,0,Q
1126,1,Mr,male,1,1,0,PC,71.2833,1,C
1127,3,Mr,male,1,0,0,UNKNOWN,7.8542,0,S
1128,1,Mr,male,0,1,0,UNKNOWN,75.25,1,C
1129,3,Mr,male,1,0,0,UNKNOWN,7.225,0,C
1130,2,Miss,female,1,1,1,UNKNOWN,13,0,S
1131,1,Mrs,female,1,1,0,PC,106.425,1,C
1132,1,Mrs,female,1,0,0,UNKNOWN,27.7208,0,C
1133,2,Mrs,female,1,0,2,UNKNOWN,30,0,S
1134,1,Mr,male,1,1,1,UNKNOWN,134.5,1,C
1135,3,Mr,male,-1,0,0,UNKNOWN,7.8875,0,S
1136,3,Master,male,-1,1,2,W./C.,23.45,0,S
1137,1,Mr,male,1,1,0,UNKNOWN,51.8625,1,S
1138,2,Mrs,female,1,0,0,F.C.C.,21,0,S
1139,2,Mr,male,1,1,1,UNKNOWN,32.5,0,S
1140,2,Mrs,female,1,1,0,UNKNOWN,26,0,S
1141,3,Mrs,female,-1,1,0,UNKNOWN,14.4542,0,C
1142,2,Miss,female,0,1,2,C.A.,27.75,0,S
1143,3,Mr,male,1,0,0,SOTON/O2,7.925,0,S
1144,1,Mr,male,1,1,0,UNKNOWN,136.7792,1,C
1145,3,Mr,male,1,0,0,UNKNOWN,9.325,0,S
1146,3,Mr,male,1,0,0,UNKNOWN,9.5,0,S
1147,3,Mr,male,-1,0,0,C.A.,7.55,0,S
1148,3,Mr,male,-1,0,0,AQ/4,7.75,0,Q
1149,3,Mr,male,1,0,0,UNKNOWN,8.05,0,S
1150,2,Miss,female,1,0,0,UNKNOWN,13,0,S
1151,3,Mr,male,1,0,0,UNKNOWN,7.775,0,S
1152,3,Mr,male,1,1,0,UNKNOWN,17.4,0,S
1153,3,Mr,male,1,0,0,UNKNOWN,7.8542,0,S
1154,2,Mrs,female,1,0,2,UNKNOWN,23,0,S
1155,3,Miss,female,0,1,1,UNKNOWN,12.1833,0,S
1156,2,Mr,male,1,0,0,C.A.,12.7375,0,C
1157,3,Mr,male,-1,0,0,UNKNOWN,7.8958,0,S
1158,1,Mr,male,-1,0,0,UNKNOWN,0,0,S
1159,3,Mr,male,-1,0,0,C.A.,7.55,0,S
1160,3,Miss,female,-1,0,0,A.,8.05,0,S
1161,3,Mr,male,0,0,0,UNKNOWN,8.6625,0,S
1162,1,Mr,male,1,0,0,UNKNOWN,75.2417,1,C
1163,3,Mr,male,-1,0,0,UNKNOWN,7.75,0,Q
1164,1,Mrs,female,1,1,0,UNKNOWN,136.7792,1,C
1165,3,Miss,female,-1,1,0,UNKNOWN,15.5,0,Q
1166,3,Mr,male,-1,0,0,UNKNOWN,7.225,0,C
1167,2,Miss,female,1,1,0,UNKNOWN,26,0,S
1168,2,Mr,male,1,0,0,SC,10.5,0,S
1169,2,Mr,male,1,1,0,UNKNOWN,26,0,S
1170,2,Mr,male,1,1,0,CA,21,0,S
1171,2,Mr,male,1,0,0,W./C.,10.5,0,S
1172,3,Miss,female,1,0,0,UNKNOWN,8.6625,0,S
1173,3,Master,male,0,1,1,SOTON/O.Q.,13.775,0,S
1174,3,Miss,female,-1,0,0,UNKNOWN,7.75,0,Q
1175,3,Miss,female,0,1,1,UNKNOWN,15.2458,0,C
1176,3,Miss,female,0,1,1,UNKNOWN,20.2125,0,S
1177,3,Mr,male,1,0,0,A/5,7.25,0,S
1178,3,Mr,male,-1,0,0,SOTON/O.Q.,7.25,0,S
1179,1,Mr,male,1,1,0,UNKNOWN,82.2667,1,S
1180,3,Mr,male,-1,0,0,UNKNOWN,7.2292,2,C
1181,3,Mr,male,-1,0,0,A/5,8.05,0,S
1182,1,Mr,male,-1,0,0,PC,39.6,0,S
1183,3,Miss,female,1,0,0,UNKNOWN,6.95,0,Q
1184,3,Mr,male,-1,0,0,UNKNOWN,7.2292,0,C
1185,1,Dr,male,1,1,1,UNKNOWN,81.8583,1,S
1186,3,Mr,male,1,0,0,UNKNOWN,9.5,0,S
1187,3,Mr,male,1,0,0,UNKNOWN,7.8958,0,S
1188,2,Miss,female,0,1,2,SC/Paris,41.5792,0,C
1189,3,Mr,male,-1,2,0,UNKNOWN,21.6792,0,C
1190,1,Mr,male,1,0,0,UNKNOWN,45.5,0,S
1191,3,Mr,male,1,0,0,UNKNOWN,7.8542,0,S
1192,3,Mr,male,1,0,0,UNKNOWN,7.775,0,S
1193,2,Mr,male,-1,0,0,UNKNOWN,15.0458,1,C
1194,2,Mr,male,1,0,1,S.O./P.P.,21,0,S
1195,3,Mr,male,1,0,0,UNKNOWN,8.6625,0,S
1196,3,Miss,female,-1,0,0,UNKNOWN,7.75,0,Q
1197,1,Mrs,female,0,1,1,UNKNOWN,26.55,1,S
1198,1,Mr,male,1,1,2,UNKNOWN,151.55,2,S
1199,3,Master,male,0,0,1,UNKNOWN,9.35,0,S
1200,1,Mr,male,1,1,1,UNKNOWN,93.5,1,S
1201,3,Mrs,female,1,1,0,UNKNOWN,14.1083,0,S
1202,3,Mr,male,1,0,0,UNKNOWN,8.6625,0,S
1203,3,Mr,male,1,0,0,UNKNOWN,7.225,0,C
1204,3,Mr,male,-1,0,0,LP,7.575,0,S
1205,3,Miss,female,1,0,0,UNKNOWN,7.75,0,Q
1206,1,Mrs,female,1,0,0,PC,135.6333,1,C
1207,3,Miss,female,0,0,0,AQ/3.,7.7333,0,Q
1208,1,Mr,male,1,1,0,PC,146.5208,1,C
1209,2,Mr,male,1,0,0,UNKNOWN,10.5,0,S
1210,3,Mr,male,1,0,0,UNKNOWN,7.8542,0,S
1211,2,Mr,male,1,2,0,C.A.,31.5,0,S
1212,3,Mr,male,1,0,0,UNKNOWN,7.775,0,S
1213,3,Mr,male,1,0,0,UNKNOWN,7.2292,2,C
1214,2,Mr,male,1,0,0,UNKNOWN,13,1,S
1215,1,Mr,male,1,0,0,UNKNOWN,26.55,0,S
1216,1,Miss,female,1,0,0,UNKNOWN,211.3375,0,S
1217,3,Mr,male,1,0,0,SOTON/O.Q.,7.05,0,S
1218,2,Miss,female,0,2,1,UNKNOWN,39,1,S
1219,1,Mr,male,1,0,0,PC,79.2,0,C
1220,2,Mr,male,1,1,0,UNKNOWN,26,0,S
1221,2,Mr,male,1,0,0,UNKNOWN,13,0,S
1222,2,Mrs,female,1,0,2,C.A.,36.75,0,S
1223,1,Mr,male,1,0,0,PC,29.7,1,C
1224,3,Mr,male,-1,0,0,UNKNOWN,7.225,0,C
1225,3,Mrs,female,1,1,1,UNKNOWN,15.7417,0,C
1226,3,Mr,male,1,0,0,UNKNOWN,7.8958,0,S
1227,1,Mr,male,1,0,0,UNKNOWN,26,1,S
1228,2,Mr,male,1,0,0,UNKNOWN,13,0,S
1229,3,Mr,male,1,0,2,UNKNOWN,7.2292,0,C
1230,2,Mr,male,1,0,0,C.A.,31.5,0,S
1231,3,Master,male,-1,0,0,UNKNOWN,7.2292,0,C
1232,2,Mr,male,1,0,0,C.A.,10.5,0,S
1233,3,Mr,male,1,0,0,UNKNOWN,7.5792,0,S
1234,3,Mr,male,-1,1,9,CA.,69.55,0,S
1235,1,Mrs,female,1,0,1,PC,512.3292,3,C
1236,3,Master,male,-1,1,1,A/5.,14.5,0,S
1237,3,Miss,female,0,0,0,UNKNOWN,7.65,0,S
1238,2,Mr,male,1,0,0,UNKNOWN,13,0,S
1239,3,Mrs,female,1,0,0,UNKNOWN,7.2292,0,C
1240,2,Mr,male,1,0,0,UNKNOWN,13.5,0,S
1241,2,Miss,female,1,0,0,F.C.C.,21,0,S
1242,1,Mrs,female,1,0,1,PC,63.3583,2,C
1243,2,Mr,male,1,0,0,F.C.C.,10.5,0,S
1244,2,Mr,male,1,0,0,S.O.C.,73.5,0,S
1245,2,Mr,male,1,1,2,UNKNOWN,65,0,S
1246,3,Miss,female,0,1,2,C.A.,20.575,0,S
1247,1,Mr,male,1,0,0,UNKNOWN,26,1,S
1248,1,Mrs,female,1,2,0,UNKNOWN,51.4792,1,S
1249,3,Mr,male,-1,0,0,UNKNOWN,7.8792,0,S
1250,3,Mr,male,-1,0,0,UNKNOWN,7.75,0,Q
1251,3,Mrs,female,1,1,0,UNKNOWN,15.55,0,S
1252,3,Master,male,0,8,2,CA.,69.55,0,S
1253,2,Mrs,female,1,1,1,S.C./PARIS,37.0042,0,C
1254,2,Mrs,female,1,0,0,CA,21,0,S
1255,3,Mr,male,1,0,0,UNKNOWN,8.6625,0,S
1256,1,Mrs,female,1,1,0,UNKNOWN,55.4417,1,C
1257,3,Mrs,female,-1,1,9,CA.,69.55,0,S
1258,3,Mr,male,-1,1,0,UNKNOWN,14.4583,0,C
1259,3,Miss,female,1,0,0,UNKNOWN,39.6875,0,S
1260,1,Mrs,female,1,0,1,UNKNOWN,59.4,0,C
1261,2,Mr,male,1,0,0,SC/PARIS,13.8583,0,C
1262,2,Mr,male,1,1,0,UNKNOWN,11.5,0,S
1263,1,Miss,female,1,0,0,UNKNOWN,134.5,2,C
1264,1,Mr,male,1,0,0,UNKNOWN,0,3,S
1265,2,Mr,male,1,0,0,UNKNOWN,13,0,S
1266,1,Mrs,female,1,1,1,UNKNOWN,81.8583,1,S
1267,1,Miss,female,1,0,0,PC,262.375,0,C
1268,3,Miss,female,1,2,0,UNKNOWN,8.6625,0,S
1269,2,Mr,male,1,0,0,UNKNOWN,11.5,0,S
1270,1,Mr,male,1,0,0,UNKNOWN,50,1,S
1271,3,Master,male,0,4,2,UNKNOWN,31.3875,0,S
1272,3,Mr,male,-1,0,0,UNKNOWN,7.75,0,Q
1273,3,Mr,male,1,0,0,UNKNOWN,7.8792,0,Q
1274,3,Mrs,female,-1,0,0,UNKNOWN,14.5,0,S
1275,3,Mrs,female,1,1,0,UNKNOWN,16.1,0,S
1276,2,Mr,male,-1,0,0,SC/PARIS,12.875,0,S
1277,2,Miss,female,1,1,2,UNKNOWN,65,0,S
1278,3,Mr,male,1,0,0,UNKNOWN,7.775,0,S
1279,2,Mr,male,1,0,0,UNKNOWN,13,0,S
1280,3,Mr,male,1,0,0,UNKNOWN,7.75,0,Q
1281,3,Master,male,0,3,1,UNKNOWN,21.075,0,S
1282,1,Mr,male,1,0,0,UNKNOWN,93.5,1,S
1283,1,Mrs,female,1,0,1,PC,39.4,1,S
1284,3,Master,male,0,0,2,C.A.,20.25,0,S
1285,2,Mr,male,1,0,0,C.A.,10.5,0,S
1286,3,Mr,male,1,3,1,UNKNOWN,22.025,0,S
1287,1,Mrs,female,1,1,0,UNKNOWN,60,1,S
1288,3,Mr,male,1,0,0,UNKNOWN,7.25,0,Q
1289,1,Mrs,female,1,1,1,UNKNOWN,79.2,1,C
1290,3,Mr,male,1,0,0,UNKNOWN,7.775,0,S
1291,3,Mr,male,1,0,0,UNKNOWN,7.7333,0,Q
1292,1,Miss,female,1,0,0,UNKNOWN,164.8667,1,S
1293,2,Mr,male,1,1,0,UNKNOWN,21,0,S
1294,1,Miss,female,1,0,1,UNKNOWN,59.4,0,C
1295,1,Mr,male,0,0,0,UNKNOWN,47.1,0,S
1296,1,Mr,male,1,1,0,UNKNOWN,27.7208,1,C
1297,2,Mr,male,1,0,0,SC/PARIS,13.8625,1,C
1298,2,Mr,male,1,1,0,UNKNOWN,10.5,0,S
1299,1,Mr,male,1,1,1,UNKNOWN,211.5,1,C
1300,3,Miss,female,-1,0,0,UNKNOWN,7.7208,0,Q
1301,3,Miss,female,0,1,1,SOTON/O.Q.,13.775,0,S
1302,3,Miss,female,-1,0,0,UNKNOWN,7.75,0,Q
1303,1,Mrs,female,1,1,0,UNKNOWN,90,1,Q
1304,3,Miss,female,1,0,0,UNKNOWN,7.775,0,S
1305,3,Mr,male,-1,0,0,A.5.,8.05,0,S
1306,1,Dona,female,1,0,0,PC,108.9,1,C
1307,3,Mr,male,1,0,0,SOTON/O.Q.,7.25,0,S
1308,3,Mr,male,-1,0,0,UNKNOWN,8.05,0,S
1309,3,Master,male,-1,1,1,UNKNOWN,22.3583,0,C
